Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
20191361O0668,416259,434571,-1.754591,53.807196,13,3,2,1,24/01/2019,5,11:35,200,E08000032,3,650,3,40,0,-1,-1,0,0,0,1,1,4,0,0,1,2,E01033693,
20191361O1427,419572,438404,-1.704041,53.841533,13,3,1,1,24/01/2019,5,17:10,200,E08000032,6,0,9,20,0,-1,-1,0,0,0,6,1,1,0,0,1,1,E01010683,
20191361P1623,414949,436976,-1.774366,53.828851,13,3,2,2,25/01/2019,6,19:05,200,E08000032,3,6037,6,30,9,4,4,6149,0,0,4,1,2,0,0,1,1,E01010777,
20191361Q0285,416168,432840,-1.756062,53.791641,13,2,1,1,26/01/2019,7,04:07,200,E08000032,6,0,3,30,3,2,6,0,0,0,4,1,2,0,0,1,1,E01010834,
20191361Q1093,417897,436523,-1.729605,53.824687,13,2,1,1,26/01/2019,7,15:10,200,E08000032,6,0,6,20,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01010655,
20191361Q1770,417642,433217,-1.733667,53.794982,13,3,1,1,26/01/2019,7,21:25,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01010606,
20191361R1085,414673,432035,-1.778793,53.784450,13,3,2,1,27/01/2019,1,15:06,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01010838,
20191361R1242,414536,432656,-1.780843,53.790035,13,3,1,1,27/01/2019,1,16:19,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01010833,
20191361R1391,406337,435709,-1.905233,53.817637,13,3,2,3,27/01/2019,1,17:47,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01010590,
20191361R1401,415443,432616,-1.767078,53.789650,13,3,1,1,27/01/2019,1,17:55,200,E08000032,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01010834,
